@type,accessLevel,accrualPeriodicity,bureauCode_0,conformsTo,contactPoint_@type,contactPoint_fn,contactPoint_hasEmail,dataQuality,describedBy,describedByType,description,distribution_0_description,distribution_0_downloadURL,distribution_0_format,distribution_0_mediaType,distribution_0_title,distribution_0_conformsTo,distribution_0_describedBy,distribution_0_describedByType,distribution_1_description,distribution_1_downloadURL,distribution_1_format,distribution_1_mediaType,distribution_1_title,distribution_1_conformsTo,distribution_1_describedBy,distribution_1_describedByType,distribution_1_accessURL,distribution_2_conformsTo,distribution_2_describedBy,distribution_2_describedByType,distribution_2_description,distribution_2_downloadURL,distribution_2_format,distribution_2_mediaType,distribution_2_title,distribution_2_accessURL,distribution_3_description,distribution_3_downloadURL,distribution_3_format,distribution_3_mediaType,distribution_3_title,distribution_3_accessURL,identifier,isPartOf,issued,keyword_0,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,keyword_7,keyword_8,keyword_9,keyword_10,keyword_11,keyword_12,keyword_13,keyword_14,keyword_15,keyword_16,keyword_17,keyword_18,keyword_19,keyword_20,keyword_21,keyword_22,keyword_23,keyword_24,keyword_25,keyword_26,keyword_27,keyword_28,keyword_29,keyword_30,keyword_31,keyword_32,keyword_33,keyword_34,keyword_35,keyword_36,landingPage,language,license,modified,primaryITInvestmentUII,programCode_0,publisher_name,references_0,references_1,references_2,references_3,rights,spatial,systemOfRecords,temporal,theme_0,title
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Provides management information on the comprehensive integrity review process.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-12,,,integrity review,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Comprehensive Integrity Review Process - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"A central place for congressional  data, zip code, census, etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-13,,,census,congress,congressional district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Congressional District
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,A web service to process requests from applications for submission of control numbers and status inserts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-14,,,control numbers,web service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Control And Tracking Web Service MI
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"Provides an aggregate of data for the Office of the Actuary and the Office of Research, Evaluation and Statistics.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-15,,,actuary,aggregate,disability,earnings,master beneficiary record,Office of Research and Statistics,ORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Continuous Work History Sample
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"Captures the workload case management, contract and payment information to support the ""Ticket to Work"" program.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-16,,,ad hoc query,comprehensive work opportunities support system,contract,CWOSS,iTopps,workload case management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Comprehensive Work Opportunities Support System (CWOSS) - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Captures the post-entitlement and post-eligibility actions and information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-17,,,DCF,disability,disability control file,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Disability Control File (DCF) - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,A central data store for SSA's data exchange management information and related data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-18,,,data exchange agreements,data exchange management information,DEMIS,external business partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Data Exchange Management Information System (DEMIS) - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Stores information about the review process associated with disability cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-19,,,case,disability,disability quality review,DQR,review process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Disability Quality Review (DQR) - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Captures sources of Death Data from systems that interfaces with Death Alerts Control and Update System (DACUS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-20,,,DACUS,death data,death management information,Death MI,death sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Death Data - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,eCAT data store used to provide management information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-21,,,eCAT MI,electronic case analysis tool management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Electronic Case Analysis Tool (eCAT) Management Information - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Management Information supporting agency recouping of overpayments in the SSI program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-22,,,benefit,cost,overpayments,SSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Automate SSI Redeterminations Change Rate Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Data store to support ad hoc querying of electronic folder information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-23,,,ad hoc query,electronic folder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Electronic Folder Management Information - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Automated application to produce electronic service delivery management information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-24,,,electronic service delivery,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Electronic Service Delivery Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Extract of human resource information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-25,,,human resource operational data store extract,MCAS,non-sensitive,SUMS,TAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,SUMS/TAS/CAS Integration
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"This houses management information for Annual Wage Reporting (AWR), as well as statistics for the Social Security Statement.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-26,,,AWR management information,social security statement statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Earnings Modernization - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Management Information data store for reporting on electronic service usages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-27,,,electronic service,usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Electronic Services - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Stores information from law enforcement agencies about fugitive felons.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-28,,,FODS,fraud,fugitive felon,law enforcement agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Fugitive Felon Fraud Operational Data Store (FODS)
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Data store used to manage and report on all hearings and appeals level cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-29,,,appeals,case processing,CPMS,hearings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Hearings and Appeals Management Information - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Database records the management information about the transactions received for identification of the individuals applying for voter status.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-30,,,HAVV,management information,voter status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Help America Vote Verification (HAVV) - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Contains SSA Employee Information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-31,,,employee,human resources,ODS,operational data store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Human Resources - Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Provides management information reports for Appointment/Leads/800#.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-32,,,800#,appointment,leads,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Appointment System Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Provides management information on disability cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-33,,,disability,disability cases,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Electronic Disability Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Store information for reporting on number of electronic records processed through ERE website and at each Front End Capture System(FECS).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-34,,,electronic records,management information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Electronic Records Express Management Information Volume Reporting
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Provide information about health information technology program.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-35,,,case processing,management information,MEGAHIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Management Information For Megahit
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,This database supports Management Information of the registration of Organizations to SSA's internet applications.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-36,,,IRES,management information,organizations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Integrated Registration Service (IRES) Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Information Technology project Proposal and Planning system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-37,,,information technology,IT,planning,Proposal,SPARS,systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Systems Planning And Reporting System (SPARS)
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,"The WMT database retains and reports information for the following main categories of data: work counts, work samples, payroll hours and staffing, and work power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-38,,,budget,finance,operations,payroll hours,staffing,trend,work counts,work power,work samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Work Measurement Transition (WMT)
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Tracks labor relations case activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-39,,,adverse actions,arbitrations,grievances,information request,MSPB,negotiations,OLMER,unfair labor practices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Labor Relations Case Tracking System
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Collects disability evaluation information to support special disability claims processing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-40,,,disability,evaluation,predictive model,special disability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,"The publishing of the data asset cannot be done due to one or more of the following reasons: contains personal identifying information, contains federal tax information, contains sensitive information, or a data assessment has not been completed.",,,,,Disability Predictive Model Project Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Supports management information reports for end users (DDS). DIODS stores detailed case information from NDDSS and creates subtotals and summaries on cases for reports.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-41,,,case information,management information,NDDSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Disability Operational Data Store (DIODS)
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,MI Database for several Social Security Number Verification Systems that verify SSNs against the Numident.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-42,,,management information,social security number verification,SSN,verification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Online Enumeration Verification System - Management Information
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Official Union Time Tracking System captures the reporting and accounting of the representational activity for all American Federation of Government Employees (AFGE) representatives Agency wide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-43,,,AFGE,representational activity,Union Time Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Official Union Time Tracking System Operational Data Store
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,Official Union Time Tracking System captures the reporting and accounting of the representational activity for all American Federation of Government Employees (AFGE) representatives Agency wide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-44,,,AFGE,representational activity,Union Time Tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and cannot be provided to the public.,,,,,Official Union Time Tracking System
dcat:Dataset,non-public,,016:00,,vcard:Contact,Open Data,mailto:Open.Data@ssa.gov,,,,This database supports Management Information regarding the submission of W2s and W2Cs on SSA's internet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US-GOV-SSA-45,,,management information,OWR,w2,W2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.usa.gov/government-copyright,2025-11-21,,016:000,Social Security Administration,,,,,The data asset contains Personally Identifiable Information (PII) and Federal Tax Information (FTI) and cannot be provided to the public.,,,,,Online Wage Reporting (OWR) Management Information
